['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:35:00.091000 , 67.0 , 0.0 , 0.0 , 4324.61538462 , 4315.8974359 , 4323.58974359 , 4347.69230769 , 4195.8974359 , 4193.33333333 , 4192.82051282 , 4195.38461538 , 4193.33333333 , 4197.43589744 , 4210.76923077 , 4952.30769231 , 4073.33333333 , 4196.92307692 , 0.464330389245 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.091000 , 68.0 , 0.0 , 0.0 , 4315.8974359 , 4306.66666667 , 4323.07692308 , 4327.17948718 , 4189.74358974 , 4183.07692308 , 4181.53846154 , 4195.8974359 , 4196.41025641 , 4200.51282051 , 4226.15384615 , 4944.61538462 , 4079.48717949 , 4198.97435897 , 0.471646553072 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.091000 , 69.0 , 0.0 , 0.0 , 4327.17948718 , 4316.92307692 , 4350.76923077 , 4347.17948718 , 4197.94871795 , 4190.76923077 , 4188.71794872 , 4193.33333333 , 4195.38461538 , 4200.0 , 4215.38461538 , 4951.79487179 , 4054.35897436 , 4203.58974359 , 0.478962716899 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.091000 , 70.0 , 0.0 , 0.0 , 4302.56410256 , 4292.30769231 , 4332.30769231 , 4328.20512821 , 4194.87179487 , 4190.25641026 , 4188.20512821 , 4196.41025641 , 4195.38461538 , 4202.05128205 , 4218.46153846 , 4948.20512821 , 4065.64102564 , 4203.07692308 , 0.486278880725 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.091000 , 71.0 , 0.0 , 0.0 , 4297.94871795 , 4288.71794872 , 4331.28205128 , 4315.8974359 , 4190.25641026 , 4192.82051282 , 4189.23076923 , 4198.46153846 , 4196.41025641 , 4198.46153846 , 4203.58974359 , 4948.71794872 , 4052.30769231 , 4195.8974359 , 0.493595044552 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

