['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:16:55.870118 , 3.0 , 0.0 , 0.0 , 4204.61538462 , 4283.58974359 , 4276.92307692 , 4295.8974359 , 4191.79487179 , 4227.17948718 , 4253.84615385 , 4196.41025641 , 4198.46153846 , 4197.94871795 , 4174.87179487 , 4954.35897436 , 4075.8974359 , 4106.66666667 , 3.73978513366 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.870659 , 4.0 , 0.0 , 0.0 , 4205.12820513 , 4283.58974359 , 4294.87179487 , 4307.17948718 , 4192.30769231 , 4236.92307692 , 4258.46153846 , 4193.84615385 , 4194.87179487 , 4195.8974359 , 4157.43589744 , 4948.20512821 , 4069.23076923 , 4093.33333333 , 3.74810129748 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.873080 , 5.0 , 0.0 , 0.0 , 4196.92307692 , 4281.53846154 , 4291.28205128 , 4290.25641026 , 4184.61538462 , 4228.20512821 , 4244.61538462 , 4192.30769231 , 4192.30769231 , 4197.43589744 , 4154.87179487 , 4947.17948718 , 4073.33333333 , 4094.87179487 , 3.75641746131 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.873767 , 6.0 , 0.0 , 0.0 , 4207.69230769 , 4297.43589744 , 4299.48717949 , 4294.35897436 , 4198.46153846 , 4246.15384615 , 4263.07692308 , 4193.33333333 , 4194.87179487 , 4193.84615385 , 4141.02564103 , 4940.51282051 , 4060.51282051 , 4088.20512821 , 3.76473362514 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.874610 , 7.0 , 0.0 , 0.0 , 4193.84615385 , 4272.30769231 , 4280.51282051 , 4282.56410256 , 4190.25641026 , 4237.94871795 , 4254.35897436 , 4197.43589744 , 4197.94871795 , 4196.92307692 , 4156.92307692 , 4949.74358974 , 4090.76923077 , 4117.94871795 , 3.77304978896 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

